i,local_time,ok,status,latency_ms,error
470,2026-05-16T22:24:24.748,1,200,240.372,
471,2026-05-16T22:24:25.049,1,200,237.951,
472,2026-05-16T22:24:25.348,1,200,248.426,
473,2026-05-16T22:24:25.914,1,200,509.102,
474,2026-05-16T22:24:26.223,1,200,251.838,
475,2026-05-16T22:24:26.520,1,200,244.588,
476,2026-05-16T22:24:26.835,1,200,253.657,
477,2026-05-16T22:24:27.131,1,200,245.388,
478,2026-05-16T22:24:27.440,1,200,246.733,
479,2026-05-16T22:24:27.760,1,200,259.833,
480,2026-05-16T22:24:28.077,1,200,256.642,
481,2026-05-16T22:24:28.389,1,200,248.492,
482,2026-05-16T22:24:28.712,1,200,264.775,
483,2026-05-16T22:24:29.017,1,200,250.909,
484,2026-05-16T22:24:29.322,1,200,252.661,
485,2026-05-16T22:24:29.611,1,200,235.799,
486,2026-05-16T22:24:29.902,1,200,237.702,
487,2026-05-16T22:24:30.189,1,200,235.938,
488,2026-05-16T22:24:30.486,1,200,243.034,
489,2026-05-16T22:24:30.789,1,200,240.715,
490,2026-05-16T22:24:31.098,1,200,247.737,
491,2026-05-16T22:24:31.399,1,200,244.534,
492,2026-05-16T22:24:31.703,1,200,245.288,
493,2026-05-16T22:24:32.003,1,200,240.738,
494,2026-05-16T22:24:32.315,1,200,248.298,
495,2026-05-16T22:24:32.621,1,200,250.18,
496,2026-05-16T22:24:32.927,1,200,249.312,
497,2026-05-16T22:24:33.225,1,200,241.904,
498,2026-05-16T22:24:33.542,1,200,253.186,
499,2026-05-16T22:24:33.834,1,200,241.077,
